1,9.17
2,8.6
3,7.92
4,7.31
5,6.04
6,3.65
7,2.71
8,2.75
9,2.83
10,2.57
11,2.41
12,2.78
13,3.72
14,3.81
15,3.43
16,3.91
17,4.16
18,5.05
19,6.22
20,6.44
21,5.8
22,5.67
23,6.33
24,6.96
25,7.02
26,6.84
27,6.65
28,6.16
29,5.98
30,5.54
31,4.61
32,4.79
33,4.61
34,4.42
35,4.15
36,3.79
37,3.65
38,3.56
39,3.97
40,4.5
41,4.45
42,4.53
43,4.56
44,4.58
45,4.31
46,4.61
47,4.32
48,4.3
49,4.57
50,5.31
51,5.9
52,5.57
53,5.47
54,5.9
55,8.61
56,8.79
57,8.4
58,8.32
59,8.37
60,8.38
61,8.22
62,7.75
63,7.32
64,7.25
65,7.32
66,6.7
67,4.53
68,3.99
69,4.53
70,4.83
71,6.23
72,8.36
73,6.96
74,6.29
75,6.38
76,6.79
77,7.15
78,7.26
79,7.26
80,7.18
81,6.83
82,6.25
83,4.89
84,3.35
85,4.14
86,4.42
87,4.45
88,3.6
89,3.33
90,3.45
91,3.21
92,2.79
93,3.07
94,3.31
95,3.58
96,3.02
97,3.49
98,3.83
99,3.61
100,4.17
101,4.33
102,4.37
103,3.88
104,3.82
105,3.72
106,3.58
107,3.3
108,3.61
109,3.25
110,3.18
111,3.4
112,3.41
113,3.23
114,3.12
115,3.18
116,3.2
117,2.88
118,3.16
119,3.23
120,3.13
121,2.82
122,2.57
123,2.48
124,2.83
125,3.32
126,3.28
127,3.32
128,3.49
129,3.39
130,3.13
131,3
132,2.72
133,2.68
134,2.98
135,2.96
136,2.67
137,2.19
138,1.96
139,1.54
140,1.32
141,1.42
142,1.44
143,1.59
144,1.68
145,1.55
146,1.38
147,1.37
148,1.42
149,1.68
150,1.33
151,1.52
152,1.59
153,1.6
154,1.66
155,1.75
156,1.87
157,2.18
158,2.06
159,2.64
160,3.47
161,3.55
162,4.35
163,4.94
164,4.69
165,5.95
166,5.71
167,5.42
168,5.51
169,5.28
170,5.47 
171,4.97 
172,4.33
173,4
174,3.52
175,3.08
176,3.27
177,2.28
178,2.56
179,2.86
180,2.61
181,2.57
182,2.75
183,3.05
184,3
185,2.84
186,2.51
187,2.13
188,2.12
189,1.84
190,1.71
191,1.55
192,1.57
